bom dia	good morning / hello
boa tarde	good afternoon / evening
por favor	please
obrigado / obrigada	thank you (m / f speaker)
desculpe	excuse me
lamento	I'm sorry
sim	yes
não	no / not
eu	I
tu	you (informal)
o senhor	you (formal, to a man)
a senhora	you (formal, to a woman)
você	you (informal, Brazil)
ele	he
ela	she
nós	we
eles / elas	they (m / f)
mim	me (after a preposition)
comigo	with me
o que	what (on its own)
que	what / which (before a noun)
quem	who / whom
onde	where
quando	when
porque	why / because
como	how
quanto	how much
quantos / quantas	how many (m / f)
a que horas	at what time
ser	to be (permanent / characteristic)
estar	to be (temporary / state)
ter	to have
ter de	to have to / must
ir	to go
vir	to come
fazer	to do / to make
dizer	to say / to tell
querer	to want
poder	can / to be able
saber	to know (a fact)
ver	to see
dar	to give
comer	to eat
comprar	to buy
falar	to speak
escrever	to write
compreender	to understand
gostar de	to like
ficar	to stay / to be situated
chegar	to arrive
sair	to leave (go out)
partir	to leave (depart)
jantar	to have dinner
ligar	to call / to phone
levantar-se	to get up
pensar	to think / to plan
começar	to start
esperar	to wait / to hope
perguntar	to ask
precisar de	to need
pôr	to put
trazer	to bring
acabar de	to have just (done)
agora	now
hoje	today
amanhã	tomorrow
ontem	yesterday
esta noite	tonight
mais tarde	later
cedo	early
aqui	here
ali	there
em	in
com	with
de	of
para	for / in order to
e	and
mas	but
ou	or
se	if
muito	very / much
mais ou menos	more or less
demasiado	too much
assim	like that / that way
tudo	everything
algo	something
nada	nothing
há	there is / there are
toda a gente	everyone
bom / boa	good (m / f)
caro / cara	expensive (m / f)
bonito / bonita	pretty (m / f)
pronto / pronta	ready (m / f)
ocupado / ocupada	busy (m / f)
cansado / cansada	tired (m / f)
doente	ill
possível	possible
necessário	necessary
importante	important
a casa	the house
o dia	the day
a noite	the night
a hora	the hour
o tempo	the time
a cidade	the city
o problema	the problem
a reserva	the reservation
o restaurante	the restaurant
o livro	the book
Como está?	How are you?
Muito obrigado.	Thank you very much.
O que é que tem?	What do you have?
Quanto é?	How much is it?
É possível?	Is it possible?
Não é possível.	It's not possible.
Pode falar mais lento, por favor?	Can you speak more slowly, please?
O que quer dizer isto?	What does this mean?
Posso falar português contigo?	Can I speak Portuguese with you?
Quero saber.	I want to know.
Não quero saber.	I don't want to know.
Tenho fome.	I'm hungry.
Estou cansado.	I'm tired. (m)
Tenho de sair.	I have to leave.
Vou ligar-te esta noite.	I'm going to call you tonight.
Onde fica a casa?	Where is the house?
Quando tem de sair?	When do you have to leave?
A que horas?	At what time?
Acabei de chegar.	I've just arrived.
Gosto muito de escrever.	I really like writing.
Não há problema.	There's no problem.
É muito caro.	It's very expensive.
É demasiado caro.	It's too expensive.
Quantos dias fica aqui?	How many days are you staying?
Quanto tempo?	How long?
Mais ou menos.	More or less.
